,시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
3,100세약국,반려동물업,반려의료,동물약국,서울특별시,영등포구,당산2동,,217-4 번지,양평로,24 번,37.53325958,126.903741,7223.0,서울특별시 영등포구 양평로 24,서울특별시 영등포구 당산동6가 217-4,02-2678-8217,정보없음,"매주 일요일, 법정공휴일","월~금 08:30~21:00, 토 08:30~18:30",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
6,100코달리 와인바,반려동물업,반려동물식당카페,카페,서울특별시,중구,신당동,,292-152 번지,다산로38길,11 번,37.56330525,127.016417,4585.0,서울특별시 중구 다산로38길 11,서울특별시 중구 신당동 292-152,0507-1346-6774,http://instagram.com/100caudalie,매주 월요일,화~일 18:00~02:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,2022-11-30
15,1층메디컬약국,반려동물업,반려의료,동물약국,서울특별시,금천구,시흥동,,889-8 번지,시흥대로,214 번,37.45304289,126.901712,8628.0,서울특별시 금천구 시흥대로 214,서울특별시 금천구 시흥동 889-8,02-891-1112,정보없음,연중무휴,"월~수, 금 09:00~20:00, 목 09:00~20:30, 토 09:00~15:30, 일 09:00~13:30, 법정공휴일 10:00~16:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
16,1층이화약국,반려동물업,반려의료,동물약국,서울특별시,성동구,하왕십리동,,1070 번지,왕십리로,410 번,37.5665905,127.024082,4701.0,서울특별시 성동구 왕십리로 410,서울특별시 성동구 하왕십리동 1070,070-7798-1281,정보없음,매주 일요일,"월, 목 09:00~20:00, 화, 목 09:00~19:00, 수 09:00~18:00, 토 09:00~14:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
26,21세기동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,보광동,,259-1 번지,보광로,46 번,37.52831582,126.999196,4414.0,서울특별시 용산구 보광로 46,서울특별시 용산구 보광동 259-1,02-749-6750,https://blog.naver.com/vetsj21,매주 일요일,월~토 09:00~18:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
38,21C 세계로약국,반려동물업,반려의료,동물약국,서울특별시,강서구,화곡동,,1064-4 번지,화곡로,173 번,37.54204619,126.840751,7702.0,서울특별시 강서구 화곡로 173,서울특별시 강서구 화곡동 1064-4,02-2607-0624,정보없음,연중무휴,"월~금 08:30~20:30, 토, 법정공휴일 08:30~20:00, 일 09:30~19:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
43,24시 강서 젠틀리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,마곡동,,747 번지,마곡중앙1로,72 번,37.55904001,126.820063,7629.0,서울특별시 강서구 마곡중앙1로 72,서울특별시 강서구 마곡동 747,02-2662-8111,https://blog.naver.com/gentlelee2020,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
45,24시 굿케어동물의료센터,반려동물업,반려의료,동물병원,서울특별시,관악구,봉천동,,1673-21 번지,남부순환로,1861 번,37.48000009,126.956867,8739.0,서울특별시 관악구 남부순환로 1861,서울특별시 관악구 봉천동 1673-21,02-6956-2475,https://blog.naver.com/goodcare24,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
46,24시 글로리 동물병원,반려동물업,반려의료,동물병원,서울특별시,금천구,독산동,,145-13 번지,시흥대로,483 번,37.47674386,126.898256,8531.0,서울특별시 금천구 시흥대로 483,서울특별시 금천구 독산동 145-13,02-855-8575,https://blog.naver.com/gloryamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
52,24시 동물응급의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,중화동,,207 번지,망우로,247 번,37.59532179,127.079577,2117.0,서울특별시 중랑구 망우로 247,서울특별시 중랑구 중화동 207,02-494-7582,http://royalamc.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
